questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
11,"Atencion al ciudadano","Frentes de seguridad",1,"Pregunta verdadero/falso sobre proteccion de tranquilidad y seguridad bajo orientacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con material oficial de frentes de seguridad."
12,"Atencion al ciudadano","Red de apoyo y solidaridad",2,"Pregunta verdadero/falso sobre alianza estrategica con empresas y seguridad privada.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar definicion institucional."
13,"Atencion al ciudadano","Red de apoyo y comunicaciones",2,"Pregunta sobre quienes pueden acceder a la red de apoyo y comunicaciones.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar alcance de participantes."
14,"Atencion al ciudadano","Red de apoyo",2,"Pregunta sobre alianza estrategica entre Policia, gremios y empresas para mejorar seguridad ciudadana.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar si corresponde a red de apoyo y comunicaciones."
15,"Atencion al ciudadano","Denuncia virtual",2,"Pregunta sobre finalidad de la denuncia virtual.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con canal institucional vigente."
16,"Atencion al ciudadano","PQRRS",2,"Pregunta verdadero/falso sobre correo institucional para peticiones y reconocimientos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar vigencia del correo y dependencia responsable."
17,"Atencion al ciudadano","Lineas de atencion",2,"Pregunta sobre lineas telefonicas de atencion.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar numeros vigentes."
18,"Procedimientos de policia","Conciliacion y mediacion policial",2,"Pregunta sobre naturaleza de centros de conciliacion y mediacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar estructura institucional."
19,"Atencion al ciudadano","Comunicacion no verbal",2,"Pregunta sobre rasgo que revela emociones del interlocutor.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con material de comunicacion no verbal."
20,"Procedimientos de policia","Uniforme policial",2,"Pregunta verdadero/falso sobre honor, dignidad e identidad en el uso del uniforme.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009."
21,"Procedimientos de policia","Uniforme policial",2,"Pregunta verdadero/falso sobre obligaciones durante el uso del uniforme.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009, articulo 7."
22,"Procedimientos de policia","Uniforme policial",2,"Pregunta sobre obligacion de portar el uniforme con pulcritud y elegancia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009, articulo 7."
23,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre largo de la falda del uniforme femenino.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
24,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre uso de anillo o argolla por personal femenino y masculino.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
25,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre personal que cumple funciones de escolta y uso de traje civil con distintivo.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
26,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre prohibicion de modificar uniformes, accesorios, insignias y distintivos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
27,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre uso de prendas o distintivos no contemplados en el reglamento.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
28,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre donar, vender, alquilar o prestar uniformes o distintivos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
29,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre si permanecer afeitado y con cabello corto es una prohibicion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar redaccion exacta frente a obligaciones y prohibiciones."
30,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta verdadero/falso sobre clasificacion de elementos para el servicio en principales y complementarios.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con reglamento de elementos para el servicio."
31,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta verdadero/falso sobre si la tonfa es elemento basico para el patrullaje.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar contra Resolucion 00911 de 2008 y reglamento aplicable."
32,"Procedimientos de policia","Cinturon multiproposito",3,"Pregunta verdadero/falso sobre evitar elementos en la parte posterior para prevenir lesiones ante caidas.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con reglas de ubicacion de elementos del servicio."
33,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta sobre definicion de elementos para el servicio en area urbana y rural.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 00912 del 1 abril de 2009."
34,"Procedimientos de policia","Elementos principales",3,"Pregunta sobre elementos principales para la prestacion del servicio.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar si uniforme, placa y radio portatil hacen parte de los elementos principales."
35,"Procedimientos de policia","Elementos principales",4,"Pregunta sobre elemento que no hace parte de los elementos principales.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Requiere validacion normativa porque varias opciones pueden corresponder a elementos complementarios."
36,"Procedimientos de policia","Patrullaje",4,"Pregunta sobre elementos basicos para el desarrollo del patrullaje.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Resolucion 00911 de 2008, capitulo IV."
37,"Procedimientos de policia","Cinturon multiproposito",4,"Pregunta sobre ubicacion de funda de extraccion rapida y arma de fuego.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con reglas de ubicacion en cinturon multiproposito."
38,"Procedimientos de policia","Cinturon multiproposito",4,"Pregunta sobre ubicacion del porta baston y baston policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con reglas de ubicacion en cinturon multiproposito."
39,"Procedimientos de policia","Convivencia",4,"Pregunta verdadero/falso sobre si el articulo 5 de la Ley 1801 define convivencia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016, articulo 5."
40,"Procedimientos de policia","Categorias juridicas",4,"Pregunta sobre numero de categorias juridicas del Codigo Nacional de Seguridad y Convivencia Ciudadana.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
41,"Procedimientos de policia","Actividad de policia",4,"Pregunta verdadero/falso sobre finalidad de preservar convivencia y restablecer comportamientos que la alteren.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
42,"Procedimientos de policia","Medidas correctivas",4,"Pregunta verdadero/falso sobre objeto de las medidas correctivas.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
43,"Procedimientos de policia","Medidas correctivas",4,"Pregunta sobre numero de medidas correctivas de atribucion del personal de Policia Nacional.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar si son 10 medidas de atribucion policial."
44,"Procedimientos de policia","Deberes de autoridades",4,"Pregunta verdadero/falso sobre deber de conocer y aplicar mecanismos alternativos de solucion de conflictos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
45,"Procedimientos de policia","Medidas correctivas",4,"Pregunta sobre articulo de la Ley 1801 relativo a medidas correctivas de competencia de Policia Nacional.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar si corresponde al articulo 154."
46,"Procedimientos de policia","Objeto de la Ley 1801",4,"Pregunta verdadero/falso sobre caracter preventivo y condiciones para convivencia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con objeto de la Ley 1801."
47,"Procedimientos de policia","Objetivos especificos Ley 1801",5,"Pregunta sobre objetivo especifico de definir comportamientos, medidas, medios y procedimientos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con Ley 1801 de 2016."
48,"Procedimientos de policia","Convivencia",5,"Pregunta sobre definicion de interaccion pacifica, respetuosa y armonica.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con articulo 5 de Ley 1801."
49,"Procedimientos de policia","Categorias juridicas",5,"Pregunta sobre numero de categorias juridicas en la Ley 1801.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con estructura de categorias juridicas."
50,"Procedimientos de policia","Finalidades Ley 1801",5,"Pregunta sobre opcion que no hace parte de las finalidades de la Ley 1801.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con finalidades de la Ley 1801."
51,"Procedimientos de policia","Principios Ley 1801",5,"Pregunta verdadero/falso sobre si la necesidad hace parte de los principios de la Ley 1801.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con principios de la Ley 1801 de 2016."
52,"Procedimientos de policia","Caracter publico actividad de policia",5,"Pregunta verdadero/falso sobre impedimento injustificado de grabacion de actividades de policia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con articulo sobre caracter publico de la actividad de policia."
53,"Procedimientos de policia","Medios de policia",5,"Pregunta sobre instrumentos juridicos para cumplimiento de funcion y actividad de policia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar definicion de medios de policia."
54,"Procedimientos de policia","Medios inmateriales",5,"Pregunta sobre identificacion de un medio inmaterial de policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar clasificacion de medios inmateriales."
55,"Procedimientos de policia","Mediacion policial",5,"Pregunta verdadero/falso sobre exclusividad de la mediacion policial para personal uniformado.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar alcance normativo de la mediacion policial."
56,"Procedimientos de policia","Mediacion policial",5,"Pregunta sobre definicion de mediacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar definicion legal y pedagogica."
57,"Procedimientos de policia","Mediacion policial",5,"Pregunta sobre articulo del Codigo Nacional de Seguridad y Convivencia Ciudadana que contempla la mediacion policial.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar si corresponde al articulo 154."
58,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre quien realiza la mediacion policial en Colombia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con Ley 1801 y material de mediacion."
59,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre reto de la mediacion policial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con enfoque de acuerdos voluntarios y consensuados."
60,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre tipos de conflicto en los que se puede usar la mediacion policial.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con material de mediacion policial."
61,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre habilidades del mediador policial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con material institucional de mediacion policial."
62,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre rol preventivo del mediador policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar alcance del rol del mediador policial."
63,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica para obtener informacion y clarificar hechos mediante escucha activa.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a indagacion."
64,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica de escucha atenta para descubrir sentimientos, deseos y necesidades.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a parafraseo."
65,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica que reformula intervenciones en positivo para identificar posiciones e intereses.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a reformulacion."
66,"Procedimientos de policia","Ruta VBG",6,"Pregunta sobre momento 1 de la ruta cuando la victima busca ayuda directamente en Policia.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar procedimiento SEA POLICIA y ruta VBG."
67,"Procedimientos de policia","Ruta VBG",6,"Pregunta sobre momento 2 de la ruta cuando la victima busca ayuda directamente en Policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar registro de casos y aviso oficioso a autoridad competente."
68,"Procedimientos de policia","Ruta VBG",7,"Pregunta sobre momento 3 de la ruta cuando la victima busca ayuda directamente en Policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar deber de informar mecanismos de atencion."
69,"Procedimientos de policia","Denuncia y actos urgentes",7,"Pregunta verdadero/falso sobre remision para valoracion forense en zonas sin policia judicial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta de atencion, denuncia y actos urgentes."
70,"Procedimientos de policia","Ruta VBG",7,"Pregunta verdadero/falso sobre informar a la posible victima los mecanismos de atencion a los que tiene derecho.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta VBG y deber de informacion."
71,"Procedimientos de policia","Ruta VBG y uso de la fuerza",7,"Pregunta verdadero/falso sobre posibilidad de utilizar la fuerza ante violencia contra la victima.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta VBG y modelo de uso de la fuerza."
72,"Procedimientos de policia","Infancia y adolescencia",7,"Pregunta verdadero/falso sobre tramite inmediato por Policia de Infancia y Adolescencia cuando la victima es menor de 18 años.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta de atencion para NNA."
73,"Procedimientos de policia","Medidas de proteccion",7,"Pregunta sobre medidas de proteccion del Decreto 4799 de 2011.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar Decreto 4799 de 2011 y Ley 1257 de 2008."
74,"Procedimientos de policia","Medidas de proteccion",7,"Pregunta verdadero/falso sobre si retirar al agresor del lugar procede cuando hay violencia contra persona del grupo familiar.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar medidas de proteccion por violencia intrafamiliar."
75,"Procedimientos de policia","Casos con niños, niñas y adolescentes",7,"Pregunta sobre procedimiento ante NNAM en estado de embriaguez.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar guia de infancia y adolescencia."
76,"Procedimientos de policia","Entrevista a NNA",7,"Pregunta sobre condiciones de entrevista en casos de abuso sexual a niños, niñas y adolescentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar Ley 1652 de 2013 y reglas de entrevista forense."
77,"Procedimientos de policia","Entrevista forense",7,"Pregunta verdadero/falso sobre si la entrevista forense esta prohibida en contexto de abuso sexual a NNA.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Revisar redaccion: requiere contraste con Ley 1652 de 2013."
78,"Procedimientos de policia","Infancia y adolescencia",8,"Pregunta sobre procedimiento de vigilancia y control en materia de infancia y adolescencia.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
79,"Procedimientos de policia","Proteccion integral NNA",8,"Pregunta sobre norma que contiene el articulo 7 de proteccion integral de niños, niñas y adolescentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar Ley 1098 de 2006."
80,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre fase antes/durante/despues en acciones de vigilancia y control para NNA.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001 antes de importar."
81,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre actividades durante la atencion de NNA que requieren proteccion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
82,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre actividades posteriores al restablecimiento de derechos e informacion al SIES.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
83,"Procedimientos de policia","Vigilancia establecimientos educativos",8,"Pregunta sobre finalidad de vigilancia y control a entrada y alrededores de establecimientos educativos.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001 y Ley 1098 de 2006."
84,"Procedimientos de policia","Rescate y restablecimiento de derechos NNA",9,"Pregunta sobre punto de control relacionado con ingreso a inmueble autorizado por autoridad competente.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con guia 2PC-GU-0001."
85,"Procedimientos de policia","Afectaciones integridad fisica NNA",9,"Pregunta sobre eventos que requieren atencion inmediata por especialistas en salud.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar listado con guia 2PC-GU-0001."
86,"Procedimientos de policia","Casos con extranjeros",9,"Pregunta sobre documentos de identificacion exigibles a ciudadanos extranjeros durante ingreso o permanencia.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con regulaciones de Ministerio de Relaciones Exteriores y Migracion Colombia."
87,"Procedimientos de policia","Documentos falsos",9,"Pregunta sobre informacion para identificar un documento falso.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar criterios de alteracion, laminacion y huellas."
88,"Procedimientos de policia","Casos con extranjeros",9,"Pregunta sobre paises que no requieren visa para ingresar a Colombia.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar vigencia migratoria actual antes de importar."
89,"Procedimientos de policia","Visa",9,"Pregunta sobre significado de visa.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar definicion migratoria vigente."
90,"Procedimientos de policia","Tipos de visa",9,"Pregunta sobre tipos de visa existentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar categorias V, R y M segun normativa vigente."
91,"Procedimientos de policia","Pasaporte",9,"Pregunta sobre definicion de pasaporte como documento que acredita identidad y nacionalidad para viajar.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar definicion migratoria vigente."
92,"Procedimientos de policia","Cedula de extranjeria",9,"Pregunta sobre significado de cedula de extranjeria expedida por Migracion Colombia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con Migracion Colombia."
93,"Procedimientos de policia","Inmunidad diplomatica",10,"Pregunta verdadero/falso sobre restricciones para capturar, allanar, registrar o interceptar comunicaciones de diplomaticos.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Convencion de Viena y protocolo institucional."
94,"Procedimientos de policia","Inmunidad diplomatica",10,"Pregunta verdadero/falso sobre comunicacion al Ministerio de Relaciones Exteriores ante allanamiento a propiedad diplomatica.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar tramite con Cancilleria y protocolo aplicable."
95,"Procedimientos de policia","Personal diplomatico",10,"Pregunta verdadero/falso sobre cargos o calidades que pueden ostentar diplomaticos.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar listado con normativa y protocolo diplomatico."
96,"Uso de la fuerza","Valoracion tactica",10,"Pregunta sobre capacidad de identificar y priorizar riesgos frente a procedimiento policial o ambiente fisico.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con material de uso de la fuerza."
97,"Uso de la fuerza","Principios internacionales",10,"Pregunta sobre principios que regulan el uso de la fuerza en situaciones diferentes a conflicto armado.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con estandares internacionales sobre FEHCL."
98,"Uso de la fuerza","Instrumentos no vinculantes DIDH",10,"Pregunta sobre instrumentos no vinculantes que regulan conducta de funcionarios encargados de hacer cumplir la ley.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar diferencia entre instrumentos vinculantes y no vinculantes."
99,"Procedimientos de policia","Funcion de policia",10,"Pregunta sobre facultad de hacer cumplir disposiciones dictadas en ejercicio del poder de policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Ley 1801 de 2016."
100,"Uso de la fuerza","Resolucion uso de la fuerza",10,"Pregunta sobre resolucion que debe leerse para criterio fundamentado en uso de la fuerza, armas de fuego y armas no letales.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Resolucion 02903 de 2017 y vigencia normativa."
